"","isolate_id","cluster_pb2","cluster_pb1","cluster_pa","cluster_ha","cluster_np","cluster_na","cluster_mp","cluster_ns","cluster_profile"
"176","EPI_ISL_654827",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"177","EPI_ISL_654828",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"178","EPI_ISL_654829",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"179","EPI_ISL_654830",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"180","EPI_ISL_654831",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"181","EPI_ISL_654832",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"182","EPI_ISL_654833",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"183","EPI_ISL_654834",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"184","EPI_ISL_654835",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"185","EPI_ISL_654836",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"186","EPI_ISL_654837",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"187","EPI_ISL_654838",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"188","EPI_ISL_654839",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"189","EPI_ISL_654958",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"190","EPI_ISL_661177",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"191","EPI_ISL_661178",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"192","EPI_ISL_661313",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"193","EPI_ISL_681271",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"194","EPI_ISL_681272",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"195","EPI_ISL_681273",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"196","EPI_ISL_681274",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"197","EPI_ISL_681275",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"198","EPI_ISL_681276",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"199","EPI_ISL_681281",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"200","EPI_ISL_681282",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"201","EPI_ISL_681283",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"202","EPI_ISL_681284",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"203","EPI_ISL_681285",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"204","EPI_ISL_681286",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"205","EPI_ISL_681287",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"206","EPI_ISL_681288",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"207","EPI_ISL_681289",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"208","EPI_ISL_681290",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"209","EPI_ISL_681291",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"210","EPI_ISL_681292",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"211","EPI_ISL_681293",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"212","EPI_ISL_681294",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"213","EPI_ISL_681295",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"214","EPI_ISL_681296",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"215","EPI_ISL_681297",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"216","EPI_ISL_683592",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"217","EPI_ISL_683593",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"218","EPI_ISL_683594",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"219","EPI_ISL_683751",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"220","EPI_ISL_683997",6,4,2,1,3,3,1,3,"6_4_2_1_3_3_1_3"
"221","EPI_ISL_683999",6,4,2,1,3,3,1,3,"6_4_2_1_3_3_1_3"
"222","EPI_ISL_697771",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"223","EPI_ISL_710434",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"224","EPI_ISL_710435",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"225","EPI_ISL_710436",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"226","EPI_ISL_710437",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"227","EPI_ISL_710438",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"228","EPI_ISL_710439",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"229","EPI_ISL_710440",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"230","EPI_ISL_710441",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"231","EPI_ISL_710442",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"232","EPI_ISL_710443",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"233","EPI_ISL_710444",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"234","EPI_ISL_710445",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"235","EPI_ISL_710446",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"236","EPI_ISL_710447",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"237","EPI_ISL_710448",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"238","EPI_ISL_710449",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"239","EPI_ISL_710450",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"240","EPI_ISL_710451",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"241","EPI_ISL_710452",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"242","EPI_ISL_710453",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"243","EPI_ISL_710504",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"244","EPI_ISL_710505",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"245","EPI_ISL_710506",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"246","EPI_ISL_710507",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"247","EPI_ISL_710508",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"248","EPI_ISL_710509",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"249","EPI_ISL_710511",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"250","EPI_ISL_710512",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"251","EPI_ISL_710533",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"252","EPI_ISL_710538",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"253","EPI_ISL_710539",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"254","EPI_ISL_718108",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"255","EPI_ISL_718109",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"256","EPI_ISL_718110",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"257","EPI_ISL_718111",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"258","EPI_ISL_718112",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"259","EPI_ISL_718113",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"260","EPI_ISL_718114",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"261","EPI_ISL_718115",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"262","EPI_ISL_718116",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"263","EPI_ISL_718117",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"264","EPI_ISL_718118",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"265","EPI_ISL_718119",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"266","EPI_ISL_718120",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"267","EPI_ISL_718121",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"268","EPI_ISL_718122",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"269","EPI_ISL_718123",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"270","EPI_ISL_718223",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"271","EPI_ISL_732927",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"272","EPI_ISL_732928",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"273","EPI_ISL_732929",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"274","EPI_ISL_732930",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"275","EPI_ISL_732931",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"276","EPI_ISL_732932",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"277","EPI_ISL_732933",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"278","EPI_ISL_732934",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"279","EPI_ISL_732935",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"280","EPI_ISL_732936",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"281","EPI_ISL_732937",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"282","EPI_ISL_732938",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"283","EPI_ISL_732939",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"284","EPI_ISL_732940",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"285","EPI_ISL_732941",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"286","EPI_ISL_732942",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"287","EPI_ISL_732943",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"288","EPI_ISL_732944",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
