GISAID_isolate_id,genotype_profile,genotype_label,USDA_genotype
EPI_ISL_644161,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_647969,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_653918,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_653919,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_653920,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_653921,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_660264,6_4_2_1_3_4_1_3,H5N5/2020/R1,Notassigned
EPI_ISL_666687,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_666890,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_667810,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_668456,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_668457,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_684037,6_4_3_1_2_2_1_3,H5N8/2020/R3,Notassigned
EPI_ISL_693515,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_708701,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_708702,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_708703,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_708704,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_708705,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_708706,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_708707,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_708708,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_708709,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_708710,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_708711,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_708712,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_708713,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_708714,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_708715,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_708716,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_708717,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_708718,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_708719,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_708720,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_711055,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_711056,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_711058,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_711059,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_718106,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_718107,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_722176,6_4_2_1_3_4_1_3,H5N5/2020/R1,Notassigned
EPI_ISL_738049,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_738050,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_738051,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_738052,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_738053,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_738054,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_738055,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_738056,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_738057,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_738058,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_738059,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_738060,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_739684,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_739685,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_739686,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_739687,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_739688,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_739689,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_739690,33_6_1_1_2_2_1_3,NA,Notassigned
EPI_ISL_739691,33_6_1_1_2_2_1_3,NA,Notassigned
EPI_ISL_739692,33_6_1_1_2_2_1_3,NA,Notassigned
EPI_ISL_404993,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_405391,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_415197,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_417414,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_417415,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_419220,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_419239,9_7_6_2_2_2_1_3,H5N8/2020/R1,NA
EPI_ISL_419312,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_419314,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_614399,6_4_2_1_3_4_1_3,H5N5/2020/R1,Notassigned
EPI_ISL_626647,6_4_3_1_3_4_1_3,NA,Notassigned
EPI_ISL_626648,6_4_3_1_3_4_1_3,NA,Notassigned
EPI_ISL_626649,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_626650,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_626651,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_626652,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_632314,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_632315,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_632316,6_6_2_1_14_20_1_3,NA,Notassigned
EPI_ISL_632317,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_632318,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_632319,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_644735,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_644737,1_4_2_1_12_4_1_3,NA,Notassigned
EPI_ISL_644824,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_654821,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_654824,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_654826,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_654827,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_654828,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_654829,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_654830,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_654831,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_654832,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_654833,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_654834,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_654835,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_654836,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_654837,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_654838,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_654839,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_654958,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_661177,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_661178,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_661313,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_681271,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_681272,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_681273,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_681274,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_681275,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_681276,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_681281,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_681282,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_681283,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_681284,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_681285,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_681286,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_681287,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_681288,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_681289,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_681290,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_681291,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_681292,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_681293,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_681294,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_681295,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_681296,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_681297,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_683592,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_683593,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_683594,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_683751,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_683997,6_4_2_1_3_4_1_3,H5N5/2020/R1,NA
EPI_ISL_683999,6_4_2_1_3_4_1_3,H5N5/2020/R1,Notassigned
EPI_ISL_697771,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_710434,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_710435,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_710436,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_710437,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_710438,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_710439,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_710440,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_710441,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_710442,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_710443,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_710444,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_710445,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_710446,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_710447,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_710448,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_710449,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_710450,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_710451,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_710452,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_710453,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_710504,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_710505,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_710506,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_710507,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_710508,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_710509,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_710511,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_710512,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_710533,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_710538,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_710539,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_718108,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_718109,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_718110,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_718111,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_718112,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_718113,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_718114,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_718115,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_718116,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_718117,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_718118,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_718119,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_718120,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_718121,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_718122,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_718123,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_718223,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_732927,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_732928,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_732929,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_732930,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_732931,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_732932,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_732933,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_732934,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_732935,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_732936,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_732937,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_732938,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_732939,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_732940,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_732941,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_732942,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_732943,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_732944,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_732945,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_732946,12_10_6_2_2_2_1_3,H5N8/2020/R4,Notassigned
EPI_ISL_4071019,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_766052,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_766053,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_766054,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_766056,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_766876,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_775248,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_775251,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_775253,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_775266,6_4_3_1_3_2_1_3,H5N8/2020/R2,D1.1
EPI_ISL_775267,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_779129,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_796011,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_804043,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_804045,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_804047,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_808250,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_811128,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_811134,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_811135,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_811144,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_811146,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_832205,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_832206,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_943551,6_6_2_1_22_4_1_3,NA,Notassigned
EPI_ISL_943553,6_6_2_1_22_4_1_3,NA,Notassigned
EPI_ISL_984670,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_984673,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_984675,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
